,message
0,"Завод и промышленное производство - ровное пыхтение машин и монотонное цоканье бутылок на конвейере - это не всегда скучно, как вам может показаться. Вы наверняка видели, как выглядит наш цех розлива - если и не воочию, то на картинках в нашей ленте. 

Снаружи цех похож на океанариум. Бутылки, как косяки рыб, плывут по конвейерной ленте и завораживают своими хороводами наблюдающих за ними . Если коротко, мы создали открытое для посторонних глаз производство. 

И вот сегодня  - в канун Дня рожденья Шампанского - мы открыли еще один похожий зал. Цех первичного виноделия. Открыли в буквальном смысле слова. Он находится под открытым небом.

Все оборудование и машины по приемке и переработке винограда установлены не в четырех заводских стенах, а в тени трех платанов-великанов, и совсем скоро, когда начнется сезон сбора урожая, у наших туристов появится возможность погулять между ними и увидеть первые шаги вина, самые первые этапы его сотворения."
1,"“Август.
Персики и цукаты,
и в медовой росе покос.
Входит солнце в янтарь заката,
словно косточка в абрикос”.
Федерико Гарсиа Лорка.

А у нас август ассоциируется еще и с началом сбора винограда🍇"
2,"Море + вино = (всегда) ИдеальнаяПара

Без лишних слов просто пожелаем вам провести предстоящий #ZB_weekend на море с #ZBwine. Какое вино выберете вы для морской прогулки?"
3,"#ZналиЛиВы, что грифон - это достаточно распространенный геральдический символ. Он изображен на гербах городов, провинций и стран - от Керчи до Генуи, от лондонских боро до Республики Крым.

Ну, и конечно, грифон - это символ “Золотой Балки”. Вы его найдете на этикетках базовой линейки, плакетках для игристых вин, некоторых видах пробок и на самих бутылках линейки Балаклава в виде эмбоссинга, т.е. объемного изображения на стекле"
4,"Предлагаем отметить начало последней недели июля бокалом охлажденного Балаклава Brut Rosé Reserve.  В нём собрана вся свежесть прошлого лета, хоть и заточëнная в бутылке почти год. Ну а мы ждем, когда вот-вот начнется сбор урожая этого года🍇"
5,"Семь вин линейки ZBwine...
Как семь нот одной гаммы...
Как семь цветов радуги...
Семь вин ZBwine на все семь дней недели 😉"
6,"#Люди_ЗБ
Ирина Данчевская. Аппаратчица

Ирина Данчевская работает с сосудами под давлением - так называемыми “акратофорами”, в которых и происходит вторичное брожение игристых вин. Аппаратчики - а на “Золотой Балке” это исключительно женщины - работают посменно и следят за бродящим вином круглосуточно: измеряют температуру и давление в резервуарах, а после брожения проводят фильтрацию и подают уже готовое игристое вино на розлив.
Так что фактически аппаратчики, в том числе и Ирина, отвечают за перляж в вашем бокале 😉🥂"
7,"#ZB_Quizzz

Продолжите пословицу:
“Если хочешь быть счастливым на один день, выпей бокал вина, если хочешь быть счастливым на всю жизнь, …” 

(подсказка на фотографии😉)"
8,"#аЗБука_ЗБ
 Доводилось ли вам пить “хрустящее” вино? Держим пари, что доводилось. Под такое необычное определение вкуса попадает, например, наш #ZBwine Sauvignon.
Приятная высокая кислотность этого вина создает ощущение пронзительной свежести, как бывает, когда после тёплой осени выпадает первый снег. 
Это вино способно утолить жажду в такой жаркий июльский день, как сегодня. 
Чтобы ощутить, как вино может “хрустеть”, просто попробуйте наш Совиньон блан."
9,"Итак, наш #ЗБ_ответ на #ЗБ_вопрос из предыдущего поста:

На производство одной стандартной бутылки вина действительно уходит ~ 1.2 кг винограда, а это примерно 250-300 ягод. "
10,"#ЗБ_вопрос
Как вы думаете, сколько ягод уходит на производство одной бутылки вина? 
P.S. Сезон уже совсем не за горами, так что самые любознательные смогут опытным путем получить  #ЗБ_ответ."
11,"C 2017 года на винной арене, линейка тихих вин #ZBwine каждый год радует своих фанатов. В этому году коллекция ZBwine включает в себя уже семь вин!

Как вы думаете, какое вино выбирает Снежанна Георгиева? И какое выбираете вы?"
12,Намотать на ус. Так наши виноградные лозы визуализируют фразеологизмы.
13,"Сегодня Всемирный день поцелуя. 
#ZналиЛиВы, что традиция поцелуя влюбленных на ночь пришла из античности и первоначально имела коварную подоплеку.

Дело в том, что в глубокой древности право пить вино исключительно принадлежало мужчинам, а женщинам это категорически запрещалось. Настолько категорически, что за “выпивание” назначалась смертная казнь.  А так как ни фильтров, никаких других систем очистки воды в те времена не было, женщинам приходилось пить воду грязной и порой зараженной, в то время как мужчины обеззараживали ее вином. 

Так что можно себе предположить, что женщины все-таки ухищрялись где-то добывать вино да попивать его “втихаря” от мужа, чтобы пускай и не насладиться им, то хоть чуть-чуть продлить себе жизнь.
И вот мужчины стали целовать своих жен на ночь именно с той целью, чтобы определить, пили ли женщины вино в течение дня или нет."
